,word,count
0,என்று,69
1,தன்,49
2,அவர்,47
3,ஒரு,45
4,அவன்,41
5,ஜனமேஜயன்,38
6,அந்த,35
7,நான்,32
8,என்றார்.,30
9,அது,29
10,வைசம்பாயனர்,28
11,ஆஸ்திகன்,27
12,என,27
13,வந்து,23
14,போல,22
15,என்,22
16,நீ,21
17,இந்த,21
18,அங்கே,20
19,அதன்,19
20,அவர்கள்,19
21,எழுந்து,19
22,அவள்,18
23,பரீட்சித்,16
24,இருந்து,16
25,ஒன்று,16
26,வியாசர்,15
27,நாகங்கள்,14
28,உன்,14
29,ஒவ்வொரு,14
30,அதை,13
31,கொண்ட,13
32,வழியாக,13
33,என்றார்,12
34,இருந்த,12
35,அவரை,12
36,என்றான்.,11
37,சென்று,11
38,பெயர்,11
39,பெரிய,11
40,அவை,11
41,இருந்தது.,11
42,மண்ணில்,10
43,சிறிய,10
44,தட்சன்,10
45,வந்த,10
46,உள்ளே,10
47,மெல்ல,10
48,அவரது,10
49,அவர்களின்,10
50,அத்தனை,9
51,அவனை,9
52,திரும்பி,9
53,மீண்டும்,9
54,நோக்கி,9
55,கொண்டு,9
56,பின்பு,9
57,மட்டுமே,9
58,அருகே,9
59,என்ற,9
60,கண்டான்.,9
61,தங்கள்,8
62,நீங்கள்,8
63,நின்ற,8
64,உடல்,8
65,உங்கள்,8
66,ஆனால்,8
67,ஏழு,8
68,முன்,8
69,நடுவே,8
70,நின்று,8
71,மீது,8
72,அன்னை,8
73,சேர்ந்து,7
74,கரிய,7
75,கண்கள்,7
76,மாபெரும்,7
77,வெளியே,7
78,அன்னையின்,7
79,நின்றார்.,7
80,சொன்னான்.,7
81,அவளுடைய,7
82,வேள்வி,7
83,அணிந்த,7
84,கண்டு,7
85,கிடந்த,7
86,எனக்கு,7
87,அப்பால்,6
88,சென்ற,6
89,சென்றான்.,6
90,முன்னால்,6
91,என்றான்,6
92,தூக்கி,6
93,இங்கே,6
94,நடந்து,6
95,ஜைமினியும்,6
96,அனைத்தும்,6
97,பைலரும்,6
98,இப்போது,6
99,முழுக்க,6
100,திகைத்து,6
101,அனைவரும்,6
102,கேட்டான்.,6
103,எல்லாம்,6
104,என்ன,6
105,கவிஜாதன்,6
106,ஆரம்பித்தது.,6
107,தன்னை,6
108,மேலே,6
109,அப்போது,6
110,வணங்கி,6
111,அமர்ந்து,6
112,அனைத்தையும்,6
113,எழுந்த,6
114,ஜரத்காரு,5
115,எட்டு,5
116,கோடானுகோடி,5
117,வைசம்பாயனர்.,5
118,அதன்பின்,5
119,கண்ணீர்,5
120,இனி,5
121,பகுதி,5
122,விதியின்,5
123,பிறந்த,5
124,குருவம்சத்தின்,5
125,ஒருநாள்,5
126,இணைந்து,5
127,பாரதவர்ஷத்தின்,5
128,எடுத்து,5
129,அன்று,5
130,கண்ட,5
131,விரிந்த,5
132,மட்டும்,5
133,மானசாதேவி,5
134,இரு,5
135,ஓவியம்:,5
136,மானசாதேவி.,5
137,அரண்மனை,5
138,வேள்விமுகம்,5
139,இதை,5
140,ஜனமேஜயனின்,5
141,கூவினார்.,5
142,:,5
143,இருபக்கமும்,5
144,ஆயிரம்,5
145,என்னை,5
146,முனிவரின்,5
147,ஷண்முகவேல்,5
148,பாதை,5
149,கையில்,5
150,ஜனமேஜயன்.,5
151,இதோ,5
152,மேல்,5
153,வியாசரை,5
154,அவளை,5
155,எரிந்து,4
156,பரீட்சித்தின்,4
157,மைந்தன்,4
158,சூதர்களின்,4
159,செய்தது,4
160,தந்தை,4
161,வைத்து,4
162,விழுந்து,4
163,அந்தச்,4
164,அள்ளி,4
165,மேலும்,4
166,அறிந்தது.,4
167,ஒருவர்,4
168,நாகத்தின்,4
169,செந்நிற,4
170,பின்னர்,4
171,வெண்ணிற,4
172,வளைந்து,4
173,சொன்னாள்.,4
174,விரித்து,4
175,கணமும்,4
176,வாழ்த்தி,4
177,ஏறி,4
178,மெல்லிய,4
179,கண்டனர்.,4
180,முனிவர்,4
181,அவற்றை,4
182,என்றும்,4
183,கிடந்தது.,4
184,கண்டார்.,4
185,வாழும்,4
186,அனைத்து,4
187,ரதத்தில்,4
188,கொடுத்து,4
189,வேள்வியை,4
190,என்றாள்,4
191,போன்ற,4
192,சொன்னார்.,4
193,இல்லை.,4
194,முழுமையாகவே,4
195,நாகங்களின்,4
196,வந்தார்.,4
197,நின்றான்.,4
198,தன்னுள்,4
199,வந்தது.,4
200,மூடி,4
201,எஞ்சிய,4
202,யுதிஷ்டிரர்,4
203,அங்கிருந்து,4
204,இரவில்,4
205,ஒளி,4
206,மாதம்,4
207,வந்தான்.,4
208,உத்தங்கர்,4
209,தலை,4
210,அவ்வாறே,4
211,மகன்,4
212,நீரில்,4
213,ஆஸ்திகனை,4
214,சொல்ல,4
215,தட்ச,4
216,இருந்தன.,4
217,நடுங்கும்,4
218,குழந்தையை,3
219,குரலில்,3
220,வண்ண,3
221,“இங்கே,3
222,அதற்குள்,3
223,நாகங்களை,3
224,நின்றன.,3
225,அப்போதுதான்,3
226,கைகூப்பியபடி,3
227,தர்ப்பையை,3
228,இறங்கி,3
229,கிளம்பி,3
230,தன்னிலிருந்து,3
231,சென்றது.,3
232,நிறைந்த,3
233,கண்களில்,3
234,மனிதகுலத்தின்,3
235,சுருண்டு,3
236,அஸ்தினபுரியின்,3
237,என்பதனால்,3
238,வளர்ந்தான்.,3
239,கிருஷ்ண,3
240,ஐயம்,3
241,வானத்தில்,3
242,கீழே,3
243,“அப்படியென்றால்,3
244,உனக்கு,3
245,சியவன,3
246,காணிக்கை,3
247,தட்சனின்,3
248,இருள்,3
249,ஏனென்றால்,3
250,பிறந்தன.,3
251,நாம்,3
252,உடலுடன்,3
253,கொண்டுசென்று,3
254,உணர்ந்தார்.,3
255,"“மாமன்னரே,",3
256,அமர்ந்திருந்தார்.,3
257,குலம்,3
258,குழந்தை,3
259,சென்றார்.,3
260,ஆரம்பித்தன.,3
261,உன்னை,3
262,என்னும்,3
263,கலந்து,3
264,குளிர்ந்த,3
265,‘உன்,3
266,ஆரம்பித்தார்.,3
267,என்றால்,3
268,‘ஆம்,3
269,மெதுவாக,3
270,செல்லும்,3
271,என்றென்றும்,3
272,முழுமையாக,3
273,இடம்,3
274,மகாவியாசர்.,3
275,அவரிடம்,3
276,ஒரே,3
277,வியாசர்.,3
278,அழைத்து,3
279,பலகோடி,3
280,காலத்தை,3
281,ஏழாம்,3
282,அலைபாய்ந்தது.,3
283,அளித்து,3
284,பதினெட்டு,3
285,ஒருவன்,3
286,கேளுங்கள்.,3
287,குனிந்து,3
288,என்றனர்.,3
289,குழந்தைகள்,3
290,ஆகவே,3
291,மலர்களும்,3
292,தளர்ந்து,3
293,பிறந்து,3
294,தெரிந்த,3
295,பிரஜாபதி.,3
296,மூன்று,3
297,இறுதி,3
298,நதிக்கரையில்,3
299,நாகம்,3
300,இல்லாத,3
301,கையை,3
302,உண்டு,3
303,“நான்,3
304,தன்னுடைய,3
305,எல்லை,3
306,சிவந்த,3
307,ஆரம்பித்தான்.,3
308,முனிவரை,3
309,இனிமேல்,3
310,தனக்குள்,3
311,சொல்லும்,3
312,ஒன்றை,3
313,முன்பு,3
314,அவற்றின்,3
315,குரல்,3
316,வரும்,3
317,“என்ன,3
318,வேத,3
319,மாறி,3
320,நம்,3
321,“நீங்கள்,3
322,விருப்பம்,3
323,என்றபின்,3
324,தொங்கிய,3
325,வானத்தை,3
326,நீண்ட,3
327,ஏதும்,3
328,கண்களை,3
329,குடிலமைத்து,3
330,உயிரை,3
331,குருநாதரின்,3
332,வியாசவனத்தில்,3
